epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,222.711,0.69348,0.76938,0.91604,0.76205,0.55704,0.52468,0.40529,1.51795,1.58407,1.50269,0.000848969,0.000848969,0.000848969
43,228.086,0.76859,0.82769,0.93828,0.79454,0.57618,0.53186,0.40728,1.49383,1.56119,1.47857,0.000834822,0.000834822,0.000834822
44,233.246,0.75414,0.84195,0.9471,0.73229,0.55704,0.52224,0.42127,1.47012,1.53384,1.46058,0.000820675,0.000820675,0.000820675
45,238.599,0.74884,0.81684,0.94253,0.76143,0.57902,0.5388,0.4206,1.50607,1.54871,1.49051,0.000806528,0.000806528,0.000806528
46,243.787,0.76288,0.79432,0.95527,0.73925,0.57926,0.54313,0.4126,1.53764,1.55361,1.53319,0.00079238,0.00079238,0.00079238
47,249.311,0.74293,0.76139,0.94523,0.74872,0.57926,0.54153,0.42394,1.50396,1.53155,1.50088,0.000778233,0.000778233,0.000778233
48,254.493,0.68281,0.81416,0.93131,0.69295,0.57926,0.53279,0.43497,1.36362,1.41593,1.41643,0.000764086,0.000764086,0.000764086
49,259.692,0.78908,0.84607,0.9315,0.67699,0.5639,0.51319,0.41898,1.39711,1.42411,1.43571,0.000749939,0.000749939,0.000749939
50,264.843,0.61569,0.68873,0.90695,0.73076,0.55704,0.526,0.41187,1.46162,1.44034,1.45766,0.000735792,0.000735792,0.000735792
51,270.208,0.69351,0.72495,0.90679,0.76386,0.55704,0.53426,0.41477,1.47159,1.40563,1.44374,0.000721645,0.000721645,0.000721645
52,275.284,0.81019,0.79407,0.9845,0.75415,0.57926,0.54602,0.434,1.47575,1.44108,1.46503,0.000707498,0.000707498,0.000707498
53,280.451,0.62476,0.68031,0.90235,0.73631,0.60148,0.53824,0.43234,1.4688,1.48339,1.46755,0.000693351,0.000693351,0.000693351
54,285.851,0.73117,0.75724,0.92405,0.77543,0.57926,0.546,0.43178,1.41169,1.43751,1.4215,0.000679204,0.000679204,0.000679204
55,291.121,0.76647,0.84171,0.92651,0.79983,0.57926,0.55736,0.44192,1.39773,1.43315,1.39803,0.000665057,0.000665057,0.000665057
56,296.398,0.6853,0.73821,0.91336,0.78291,0.59681,0.55977,0.44601,1.31454,1.31341,1.36081,0.000650909,0.000650909,0.000650909
57,301.689,0.706,0.71349,0.94061,0.81683,0.57661,0.54846,0.43705,1.3295,1.3363,1.37779,0.000636762,0.000636762,0.000636762
58,306.869,0.75035,0.73602,0.91791,0.7892,0.59654,0.53535,0.42279,1.38075,1.45912,1.4626,0.000622615,0.000622615,0.000622615
59,312.088,0.6646,0.72543,0.91464,0.75103,0.60148,0.5118,0.40359,1.43467,1.52029,1.50017,0.000608468,0.000608468,0.000608468
60,317.073,0.6604,0.65257,0.8976,0.74563,0.60148,0.5213,0.39955,1.40136,1.53329,1.44258,0.000594321,0.000594321,0.000594321
61,322.463,0.60632,0.64935,0.90761,0.73101,0.60148,0.51783,0.41678,1.3503,1.46987,1.37194,0.000580174,0.000580174,0.000580174
62,327.714,0.70695,0.7205,0.94583,0.78553,0.57926,0.52543,0.42501,1.31931,1.45373,1.35108,0.000566027,0.000566027,0.000566027
63,332.879,0.70542,0.75033,0.94265,0.79563,0.57926,0.53244,0.42942,1.28382,1.41634,1.36077,0.00055188,0.00055188,0.00055188
64,338.111,0.75618,0.74098,0.9346,0.7768,0.60148,0.55764,0.44738,1.33521,1.3523,1.43823,0.000537733,0.000537733,0.000537733
65,343.276,0.67202,0.64398,0.90728,0.79982,0.5983,0.57354,0.46224,1.39371,1.39799,1.48413,0.000523586,0.000523586,0.000523586
66,348.481,0.61085,0.64744,0.90356,0.80567,0.57926,0.57071,0.45413,1.36993,1.38818,1.45719,0.000509438,0.000509438,0.000509438
67,353.68,0.55653,0.57558,0.89075,0.80376,0.57926,0.57099,0.45621,1.40629,1.44629,1.48497,0.000495291,0.000495291,0.000495291
68,359.097,0.63329,0.69153,0.88228,0.8008,0.60016,0.5582,0.45101,1.34621,1.43121,1.46234,0.000481144,0.000481144,0.000481144
69,364.354,0.64294,0.65366,0.91132,0.80279,0.60148,0.5616,0.45965,1.36722,1.46402,1.4929,0.000466997,0.000466997,0.000466997
70,369.617,0.5813,0.60935,0.89722,0.79785,0.60148,0.56612,0.46005,1.3525,1.42321,1.48608,0.00045285,0.00045285,0.00045285
71,375.435,0.69226,0.68394,0.91403,0.79345,0.60148,0.56931,0.46331,1.36213,1.39667,1.49402,0.000438703,0.000438703,0.000438703
72,380.657,0.71704,0.80344,0.95763,0.80031,0.60148,0.57177,0.45764,1.41059,1.34584,1.47619,0.000424556,0.000424556,0.000424556
73,386.004,0.57269,0.60203,0.89784,0.80303,0.60148,0.57232,0.4563,1.38881,1.30185,1.42909,0.000410409,0.000410409,0.000410409
74,391.532,0.75475,0.73626,0.93284,0.80503,0.60148,0.57553,0.45844,1.40314,1.31284,1.43631,0.000396262,0.000396262,0.000396262
75,396.61,0.70195,0.69965,0.94548,0.78522,0.60148,0.57119,0.45963,1.38309,1.3332,1.42923,0.000382115,0.000382115,0.000382115
76,401.742,0.67493,0.67502,0.92339,0.78565,0.6003,0.56645,0.4726,1.43773,1.50852,1.54363,0.000367967,0.000367967,0.000367967
77,407.119,0.65464,0.62699,0.89567,0.78339,0.60148,0.56902,0.46605,1.44082,1.5352,1.57333,0.00035382,0.00035382,0.00035382
78,412.717,0.67866,0.63481,0.91593,0.77967,0.60148,0.56973,0.46891,1.39311,1.52154,1.56476,0.000339673,0.000339673,0.000339673
79,418.073,0.55901,0.57544,0.90245,0.77829,0.60148,0.56905,0.47544,1.33151,1.4946,1.5279,0.000325526,0.000325526,0.000325526
80,423.46,0.5997,0.61033,0.88486,0.80104,0.59849,0.58165,0.47413,1.33424,1.46709,1.49253,0.000311379,0.000311379,0.000311379
81,428.885,0.6575,0.64498,0.90564,0.80111,0.59894,0.58181,0.47243,1.34285,1.44178,1.47755,0.000297232,0.000297232,0.000297232
82,433.854,0.65684,0.68368,0.92032,0.80296,0.59909,0.58275,0.47145,1.33155,1.40784,1.46217,0.000283085,0.000283085,0.000283085
83,438.295,0.64684,0.61144,0.87776,0.80424,0.59889,0.57602,0.47116,1.35182,1.42865,1.47576,0.000268938,0.000268938,0.000268938
84,443.244,0.64721,0.60676,0.88365,0.81377,0.57926,0.55704,0.45943,1.34999,1.44254,1.47345,0.000254791,0.000254791,0.000254791
85,447.852,0.64482,0.62394,0.90807,0.81163,0.57926,0.55084,0.45756,1.30934,1.3984,1.45157,0.000240644,0.000240644,0.000240644
86,452.648,0.72785,0.72087,0.94926,0.81286,0.57926,0.54841,0.45137,1.29966,1.41939,1.45562,0.000226497,0.000226497,0.000226497
87,457.212,0.65039,0.61784,0.88945,0.81518,0.57926,0.54314,0.44983,1.27639,1.39774,1.43643,0.000212349,0.000212349,0.000212349
88,461.839,0.68908,0.69151,0.91246,0.81444,0.57473,0.54592,0.4538,1.26928,1.38867,1.43063,0.000198202,0.000198202,0.000198202
89,466.928,0.57922,0.59648,0.8995,0.81363,0.57671,0.55529,0.4584,1.27631,1.38805,1.43829,0.000184055,0.000184055,0.000184055
90,472.632,0.52415,0.56223,0.84992,0.81341,0.57804,0.55413,0.45659,1.28053,1.3666,1.43028,0.000169908,0.000169908,0.000169908
91,477.83,0.63794,0.6714,0.91502,0.81158,0.57926,0.55408,0.45353,1.30149,1.37635,1.447,0.000155761,0.000155761,0.000155761
92,482.873,0.61656,0.72638,0.9166,0.80798,0.57926,0.5582,0.44831,1.31627,1.36038,1.45551,0.000141614,0.000141614,0.000141614
93,488.507,0.58687,0.65064,0.86933,0.80703,0.57926,0.55567,0.44971,1.35078,1.39616,1.48697,0.000127467,0.000127467,0.000127467
94,493.829,0.5894,0.65602,0.887,0.78147,0.59978,0.5592,0.46318,1.36653,1.43457,1.50916,0.00011332,0.00011332,0.00011332
95,501.897,0.54488,0.60929,0.84382,0.77648,0.60148,0.55366,0.46502,1.3774,1.4462,1.5285,9.91726e-05,9.91726e-05,9.91726e-05
96,507.053,0.56929,0.66996,0.8761,0.77698,0.57926,0.55533,0.46506,1.37827,1.46955,1.54499,8.50255e-05,8.50255e-05,8.50255e-05
97,512.225,0.58047,0.6447,0.91175,0.77858,0.57926,0.55174,0.45698,1.34283,1.44042,1.51205,7.08784e-05,7.08784e-05,7.08784e-05
98,517.626,0.58055,0.63066,0.88462,0.77956,0.57926,0.55448,0.46278,1.33303,1.4353,1.50058,5.67313e-05,5.67313e-05,5.67313e-05
99,522.601,0.6074,0.71137,0.88918,0.78005,0.57926,0.55946,0.46852,1.32147,1.41982,1.48128,4.25842e-05,4.25842e-05,4.25842e-05
100,527.791,0.61597,0.67577,0.90316,0.77966,0.57926,0.56299,0.47279,1.29839,1.41221,1.45845,2.84371e-05,2.84371e-05,2.84371e-05
