epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,227.789,0.91234,1.08098,1.01617,0.98415,0.79365,0.86241,0.72574,0.60734,0.67565,0.94899,0.000848969,0.000848969,0.000848969
43,232.997,0.90994,1.13709,1.05899,0.91288,0.8254,0.85853,0.73076,0.61782,0.64789,0.95937,0.000834822,0.000834822,0.000834822
44,237.983,0.97135,1.17536,1.06127,0.89363,0.80952,0.84954,0.70745,0.65109,0.61432,0.98222,0.000820675,0.000820675,0.000820675
45,242.957,0.98959,1.22651,1.05755,0.85744,0.8254,0.84764,0.70185,0.66866,0.62633,0.98462,0.000806528,0.000806528,0.000806528
46,247.753,0.74933,0.90195,0.95989,0.91616,0.8254,0.86755,0.71198,0.66968,0.6208,0.9881,0.00079238,0.00079238,0.00079238
47,252.989,0.79956,0.98886,0.99385,0.93751,0.84012,0.87201,0.72182,0.64767,0.57049,0.98543,0.000778233,0.000778233,0.000778233
48,258.181,0.75899,0.96392,0.96362,0.97744,0.8254,0.8655,0.74282,0.63195,0.57926,0.97379,0.000764086,0.000764086,0.000764086
49,263.35,0.92993,1.08576,1.0327,0.89031,0.83314,0.86614,0.7393,0.62361,0.57041,0.96881,0.000749939,0.000749939,0.000749939
50,268.42,0.81221,1.12277,0.97122,0.89201,0.85703,0.87495,0.74239,0.59866,0.55607,0.9559,0.000735792,0.000735792,0.000735792
51,273.725,0.81908,1.00099,0.99308,0.97755,0.82383,0.876,0.72664,0.59783,0.58598,0.95162,0.000721645,0.000721645,0.000721645
52,278.849,0.88072,1.02915,0.98741,0.94995,0.84127,0.88969,0.74713,0.59738,0.56453,0.94867,0.000707498,0.000707498,0.000707498
53,283.909,0.84037,1.06449,0.99325,0.93698,0.84127,0.8863,0.74147,0.59687,0.5615,0.94741,0.000693351,0.000693351,0.000693351
54,289.312,0.77366,0.86408,0.95521,0.90329,0.84343,0.88015,0.73282,0.62987,0.5817,0.94639,0.000679204,0.000679204,0.000679204
55,294.186,0.82882,0.95892,0.99498,0.89427,0.84127,0.8796,0.72968,0.63453,0.60095,0.93694,0.000665057,0.000665057,0.000665057
56,299.133,0.92738,1.09846,1.02684,0.91637,0.84113,0.88738,0.73763,0.61113,0.62023,0.94384,0.000650909,0.000650909,0.000650909
57,304.316,0.83015,1.03546,0.98078,0.97614,0.8254,0.88968,0.73373,0.60333,0.58626,0.95465,0.000636762,0.000636762,0.000636762
58,309.356,0.8495,0.91973,0.98255,0.95071,0.8254,0.87605,0.73303,0.58484,0.55826,0.95123,0.000622615,0.000622615,0.000622615
59,314.368,0.68947,0.87387,0.9241,0.92742,0.83585,0.87318,0.7296,0.57671,0.54391,0.95302,0.000608468,0.000608468,0.000608468
60,319.134,0.6505,0.84402,0.89779,0.94624,0.8254,0.85429,0.72633,0.56731,0.53425,0.94527,0.000594321,0.000594321,0.000594321
61,324.029,0.87562,1.11053,0.98299,0.9508,0.84127,0.85049,0.72634,0.55339,0.5325,0.94051,0.000580174,0.000580174,0.000580174
62,329.145,0.80927,0.97723,0.97093,0.99227,0.83951,0.85261,0.7329,0.5625,0.54036,0.94568,0.000566027,0.000566027,0.000566027
63,333.957,0.78535,0.91405,0.95377,0.9848,0.84127,0.8671,0.73445,0.56803,0.53935,0.94848,0.00055188,0.00055188,0.00055188
64,338.808,0.7921,0.92881,0.96772,0.99088,0.84127,0.88108,0.74328,0.5571,0.50965,0.93221,0.000537733,0.000537733,0.000537733
65,343.537,0.81395,0.96822,0.97723,0.98734,0.84127,0.87989,0.74492,0.54882,0.51339,0.92929,0.000523586,0.000523586,0.000523586
66,348.434,0.84041,1.03406,0.98629,0.98321,0.84127,0.88846,0.75261,0.54406,0.49215,0.92862,0.000509438,0.000509438,0.000509438
67,353.342,0.81356,0.90307,0.95528,0.97946,0.85714,0.89302,0.75039,0.56255,0.48366,0.9382,0.000495291,0.000495291,0.000495291
68,358.4,0.82099,0.99681,0.97773,0.97028,0.85714,0.914,0.74797,0.57214,0.50263,0.95156,0.000481144,0.000481144,0.000481144
69,363.537,0.86815,1.01954,0.99552,0.96009,0.85808,0.91123,0.7533,0.58704,0.55095,0.95178,0.000466997,0.000466997,0.000466997
70,368.418,0.76763,0.86577,0.94134,0.96181,0.86266,0.91588,0.76519,0.5842,0.53041,0.95092,0.00045285,0.00045285,0.00045285
71,373.745,0.82298,0.9928,1.00897,0.93352,0.88889,0.91394,0.75335,0.56805,0.5052,0.95006,0.000438703,0.000438703,0.000438703
72,378.79,0.96463,1.13768,1.06779,0.95047,0.86971,0.89739,0.74438,0.58194,0.47963,0.94869,0.000424556,0.000424556,0.000424556
73,384.053,0.73593,0.89266,0.96947,0.98202,0.87063,0.9068,0.74495,0.58301,0.48813,0.94504,0.000410409,0.000410409,0.000410409
74,390.085,0.78428,0.95157,0.99938,0.97561,0.87302,0.90443,0.75598,0.56089,0.48142,0.93464,0.000396262,0.000396262,0.000396262
75,395.533,0.65748,0.82124,0.92564,0.97984,0.87302,0.90774,0.75322,0.53836,0.46713,0.92825,0.000382115,0.000382115,0.000382115
76,400.501,0.70846,0.79291,0.96273,0.98095,0.87302,0.91045,0.76005,0.52428,0.46423,0.92873,0.000367967,0.000367967,0.000367967
77,405.01,0.76819,0.84234,0.94476,0.98247,0.87302,0.91024,0.76515,0.53947,0.48519,0.93298,0.00035382,0.00035382,0.00035382
78,410.139,0.70926,0.74998,0.90859,0.96305,0.87266,0.92457,0.76354,0.5696,0.48965,0.9453,0.000339673,0.000339673,0.000339673
79,415.667,0.66219,0.78999,0.92641,0.96046,0.8698,0.92087,0.76042,0.58571,0.48852,0.95217,0.000325526,0.000325526,0.000325526
80,421.534,0.82508,0.91229,0.97186,0.95359,0.8667,0.91361,0.76252,0.57207,0.45966,0.94804,0.000311379,0.000311379,0.000311379
81,426.323,0.68727,0.80033,0.9391,0.9547,0.86805,0.91333,0.75841,0.56431,0.45125,0.93935,0.000297232,0.000297232,0.000297232
82,431.303,0.86731,1.01383,0.9835,0.97964,0.87198,0.90902,0.76137,0.56382,0.44896,0.93547,0.000283085,0.000283085,0.000283085
83,436.304,0.72304,0.79378,0.95995,0.94075,0.87302,0.90129,0.75475,0.54411,0.44525,0.92267,0.000268938,0.000268938,0.000268938
84,441.488,0.67465,0.77883,0.89708,0.9788,0.87015,0.8989,0.7344,0.55474,0.45268,0.92091,0.000254791,0.000254791,0.000254791
85,446.312,0.78666,0.84983,0.98496,0.96942,0.87302,0.90118,0.73631,0.55714,0.45673,0.92092,0.000240644,0.000240644,0.000240644
86,451.073,0.77423,0.85811,0.93581,0.98115,0.87302,0.90551,0.74513,0.54979,0.46158,0.92227,0.000226497,0.000226497,0.000226497
87,456.002,0.59163,0.68864,0.89719,0.98538,0.87259,0.90635,0.74431,0.53577,0.4547,0.92172,0.000212349,0.000212349,0.000212349
88,461.072,0.74224,0.82899,0.92853,0.97715,0.87302,0.91163,0.75512,0.53276,0.45204,0.92546,0.000198202,0.000198202,0.000198202
89,466.074,0.70915,0.81743,0.94008,0.97385,0.87302,0.91325,0.76029,0.53156,0.44149,0.92355,0.000184055,0.000184055,0.000184055
90,471.499,0.8434,1.15745,0.99818,0.97164,0.87302,0.91237,0.76212,0.52462,0.43356,0.92201,0.000169908,0.000169908,0.000169908
91,476.704,0.77654,1.04897,0.98685,0.96895,0.87302,0.90774,0.77293,0.51996,0.4318,0.91997,0.000155761,0.000155761,0.000155761
92,481.855,0.69705,0.8847,0.95322,0.96771,0.87302,0.90738,0.77063,0.50816,0.43062,0.91777,0.000141614,0.000141614,0.000141614
93,487.439,0.65673,0.83635,0.90878,0.9666,0.8699,0.9034,0.76494,0.50212,0.43697,0.91623,0.000127467,0.000127467,0.000127467
94,492.365,0.64893,0.87385,0.91562,0.96323,0.87112,0.90294,0.76381,0.49481,0.44227,0.9174,0.00011332,0.00011332,0.00011332
95,497.464,0.66797,0.87695,0.89711,0.96168,0.87302,0.90471,0.7661,0.50152,0.45174,0.92244,9.91726e-05,9.91726e-05,9.91726e-05
96,502.471,0.65375,0.86463,0.914,0.95814,0.87302,0.90933,0.77379,0.52294,0.45176,0.93265,8.50255e-05,8.50255e-05,8.50255e-05
97,507.447,0.66423,0.97196,0.93956,0.96112,0.88513,0.92035,0.77203,0.51653,0.44716,0.93019,7.08784e-05,7.08784e-05,7.08784e-05
98,512.764,0.66909,0.88143,0.93201,0.96541,0.88461,0.91978,0.77431,0.51634,0.43976,0.92782,5.67313e-05,5.67313e-05,5.67313e-05
99,517.675,0.62037,0.8322,0.9338,0.96709,0.88421,0.92567,0.77467,0.512,0.43683,0.9255,4.25842e-05,4.25842e-05,4.25842e-05
100,522.825,0.63482,0.85059,0.91705,0.97162,0.87965,0.91969,0.77695,0.51018,0.43283,0.92509,2.84371e-05,2.84371e-05,2.84371e-05
